environment,candidate,policy,threshold,latency,harm,containment,benign_cost,disruption,false_alert,benign_collateral,attack_collateral
coverage_half,t3_l0,deception,3.0,0,1.63125,0.884375,9.958333333333334,9.958333333333334,0.6666666666666666,0.0,0.0
coverage_half,t3_l0,isolate,3.0,0,3.575,0.8875,9.0,9.0,0.6666666666666666,0.0,0.0
coverage_half,t3_l1,revoke,3.0,1,16.0,0.25,8.333333333333334,8.333333333333334,0.6666666666666666,0.0,0.0
coverage_half,t3_l1,deception_silent,3.0,1,7.409375,0.525,9.291666666666666,9.291666666666666,0.6666666666666666,0.0,0.0
coverage_half,t3_l1,deception,3.0,1,7.409375,0.525,9.291666666666666,9.291666666666666,0.6666666666666666,0.0,0.0
coverage_half,t3_l1,isolate,3.0,1,8.5875,0.66875,8.333333333333334,8.333333333333334,0.6666666666666666,0.0,0.0
coverage_half,t3_l3,revoke,3.0,3,17.5,0.0,8.0,8.0,0.6666666666666666,0.0,0.0
coverage_half,t3_l3,deception_silent,3.0,3,8.275,0.365625,8.958333333333334,8.958333333333334,0.6666666666666666,0.0,0.0
coverage_half,t3_l3,deception,3.0,3,8.275,0.365625,8.958333333333334,8.958333333333334,0.6666666666666666,0.0,0.0
coverage_half,t3_l3,isolate,3.0,3,10.1625,0.54375,8.0,8.0,0.6666666666666666,0.0,0.0
coverage_half,t5_l0,revoke,5.0,0,5.5,0.75,5.333333333333333,5.333333333333333,0.6666666666666666,0.0,0.0
coverage_half,t5_l0,deception_silent,5.0,0,1.63125,0.884375,6.841666666666667,6.841666666666667,0.6666666666666666,0.0,0.0
coverage_half,t5_l0,deception,5.0,0,1.63125,0.884375,8.245833333333334,8.245833333333334,0.6666666666666666,0.0,0.0
coverage_half,t5_l0,isolate,5.0,0,3.575,0.8875,5.333333333333333,5.333333333333333,0.6666666666666666,0.0,0.0
coverage_half,t5_l1,revoke,5.0,1,16.0,0.25,4.666666666666667,4.666666666666667,0.6666666666666666,0.0,0.0
coverage_half,t5_l1,deception_silent,5.0,1,7.409375,0.525,5.6,5.6,0.6666666666666666,0.0,0.0
coverage_half,t5_l1,deception,5.0,1,7.409375,0.525,7.579166666666667,7.579166666666667,0.6666666666666666,0.0,0.0
coverage_half,t5_l1,isolate,5.0,1,8.5875,0.66875,4.666666666666667,4.666666666666667,0.6666666666666666,0.0,0.0
coverage_half,t5_l3,revoke,5.0,3,17.5,0.0,4.333333333333333,4.333333333333333,0.6666666666666666,0.0,0.0
coverage_half,t5_l3,deception_silent,5.0,3,8.275,0.365625,5.266666666666667,5.266666666666667,0.6666666666666666,0.0,0.0
coverage_half,t5_l3,deception,5.0,3,8.275,0.365625,7.245833333333334,7.245833333333334,0.6666666666666666,0.0,0.0
coverage_half,t5_l3,isolate,5.0,3,10.1625,0.54375,4.333333333333333,4.333333333333333,0.6666666666666666,0.0,0.0
coverage_half,t8_l0,revoke,8.0,0,17.5,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0
coverage_half,t8_l0,deception_silent,8.0,0,7.809375,0.45,3.3208333333333333,3.3208333333333333,0.3333333333333333,0.0,0.0
coverage_half,t8_l0,deception,8.0,0,7.703125,0.45,7.416666666666667,7.416666666666667,0.6125,0.0,0.0
coverage_half,t8_l0,isolate,8.0,0,9.4625,0.54375,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0
coverage_half,t8_l1,revoke,8.0,1,17.5,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
coverage_half,t8_l1,deception_silent,8.0,1,8.171875,0.365625,2.975,2.975,0.3333333333333333,0.0,0.0
coverage_half,t8_l1,deception,8.0,1,7.721875,0.45,6.804166666666666,6.804166666666666,0.6125,0.0,0.0
coverage_half,t8_l1,isolate,8.0,1,9.88125,0.54375,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0
coverage_half,t8_l3,revoke,8.0,3,17.5,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
coverage_half,t8_l3,deception_silent,8.0,3,8.671875,0.30625,2.6666666666666665,2.6666666666666665,0.3333333333333333,0.0,0.0
coverage_half,t8_l3,deception,8.0,3,8.303125,0.365625,6.470833333333333,6.470833333333333,0.6125,0.0,0.0
